Year,Month,EffectiveFederalFundsRate,RealGDP ,UnemploymentRate,InflationRate,CorePCE
2021,9,0.06,2.7,4.7,5.39,0.0388
2021,10,0.07,7,4.6,6.22,0.0392
2021,11,0.07,7,4.2,6.81,0.0431
2021,12,0.07,7,3.9,7.04,0.0482
2022,1,0.08,-1.6,4,7.48,0.0504
2022,2,0.08,-1.6,3.8,7.87,0.0521
2022,3,0.33,-1.6,3.6,8.54,0.0542
2022,4,0.33,-0.6,3.6,8.26,0.0536
2022,5,0.83,-0.6,3.6,8.58,0.0503
2022,6,1.58,-0.6,3.6,9.06,0.0488
2022,7,2.32,2.6,3.5,8.52,0.0504
2022,8,2.33,2.6,3.7,8.26,0.0467
2022,9,3.08,2.6,3.5,8.2,0.0489
2022,10,3.08,2.6,3.5,7.75,0.0515
